horizon,split,n,mae,rmse,r2
1,validation_2024,139496,16.900184361508195,25.463051948766662,0.9542099764760567
1,test_2025,145497,16.947777821303102,25.44712320067717,0.9558666438136345
6,validation_2024,134544,37.430398510687276,51.0935932074235,0.8164632299176979
6,test_2025,140769,35.46847885569539,47.87203272220265,0.8448692821758408
12,validation_2024,134654,41.49631994594673,56.66289030417889,0.7747948256484223
12,test_2025,139879,38.561452008692044,52.169083446665,0.8160385201289834
24,validation_2024,133723,44.308693185918116,60.03223355657876,0.7454039945395835
24,test_2025,138768,41.956009471703744,56.74118888608438,0.7819389262680063
