horizon,feature,importance
6,month_cos,0.01035480946302414
6,weekend,0.0025101942010223866
6,temperature_2m,0.0028694330248981714
6,relative_humidity_2m,0.0030239922925829887
6,wind_speed_10m,0.008681314066052437
6,pressure_msl,0.0018938605207949877
6,precipitation,0.003169082570821047
6,wind_sin,0.0022492059506475925
6,wind_cos,0.001983529655262828
6,aqi_mean_3,0.003403991460800171
6,aqi_max_3,0.0012660633074119687
6,aqi_min_3,0.006084308493882418
6,aqi_std_3,0.001142916502431035
6,aqi_trend_3,0.0016959469066932797
6,exceedance_count_3,0.001195377204567194
6,aqi_mean_6,0.0012733229668810964
6,aqi_max_6,0.0009971499675884843
6,aqi_min_6,0.001109503791667521
6,aqi_std_6,0.0008366720285266638
6,aqi_trend_6,0.0021559703163802624
6,exceedance_count_6,0.001948295976035297
6,aqi_mean_12,0.003305590245872736
6,aqi_max_12,0.003993846010416746
6,aqi_min_12,0.002332486445084214
6,aqi_std_12,0.002896377816796303
6,aqi_trend_12,0.005258780904114246
6,exceedance_count_12,0.004092158749699593
6,aqi_mean_24,0.43900418281555176
6,aqi_max_24,0.002288260729983449
6,aqi_min_24,0.0035873965825885534
6,aqi_std_24,0.0016522319056093693
6,aqi_trend_24,0.006025305017828941
6,exceedance_count_24,0.204691082239151
6,aqi_mean_48,0.03469547629356384
6,aqi_max_48,0.0013573665637522936
6,aqi_min_48,0.0013868095120415092
6,aqi_std_48,0.0015564023051410913
6,aqi_trend_48,0.0015821678098291159
6,exceedance_count_48,0.0014121351996436715
6,aqi_mean_72,0.04180709645152092
6,aqi_max_72,0.002501743845641613
6,aqi_min_72,0.0018564073834568262
6,aqi_std_72,0.0017720517935231328
6,aqi_trend_72,0.0015729807782918215
6,exceedance_count_72,0.004006587900221348
6,temperature_2m_lag_1,0.0018620066111907363
6,temperature_2m_lag_6,0.002331934869289398
6,temperature_2m_lag_24,0.010068918578326702
6,temperature_2m_mean_24,0.0032161639537662268
6,relative_humidity_2m_lag_1,0.0030166595242917538
6,relative_humidity_2m_lag_6,0.0059476387687027454
6,relative_humidity_2m_lag_24,0.001796013442799449
6,relative_humidity_2m_mean_24,0.0023067607544362545
6,wind_speed_10m_lag_1,0.00230784947052598
6,wind_speed_10m_lag_6,0.0016628490993753076
6,wind_speed_10m_lag_24,0.0017904414562508464
6,wind_speed_10m_mean_24,0.0018754032207652926
6,pressure_msl_lag_1,0.0021340735256671906
6,pressure_msl_lag_6,0.0037669134326279163
6,pressure_msl_lag_24,0.0018866214668378234
6,pressure_msl_mean_24,0.002934403019025922
6,precipitation_lag_1,0.0017793829319998622
6,precipitation_lag_6,0.002503907773643732
6,precipitation_lag_24,0.0010722335427999496
6,precipitation_mean_24,0.013414356857538223
6,station_Alipur Delhi DPCC,0.0
6,station_Anand Vihar Delhi DPCC,0.0015466107288375497
6,station_Ashok Vihar Delhi DPCC,0.0
6,station_Bawana Delhi DPCC,0.0012477460550144315
6,station_CRRI Mathura Road Delhi IMD,0.001600142102688551
6,station_DTU Delhi CPCB,0.0016900855116546154
6,station_Dr. Karni Singh Shooting Range Delhi DPCC,0.0009397786343470216
6,station_IHBAS Dilshad Garden Delhi CPCB,0.001541289035230875
6,station_ITO Delhi CPCB,0.0011273716809228063
6,station_Jahangirpuri Delhi DPCC,0.0018254205351695418
6,station_Jawaharlal Nehru Stadium Delhi DPCC,0.0
6,station_Major Dhyan Chand National Stadium Delhi DPCC,0.0008216655696742237
6,station_Mandir Marg Delhi DPCC,0.002684566657990217
6,station_Mundka Delhi DPCC,0.0015422486467286944
6,station_NSIT Dwarka Delhi CPCB,0.0016653897473588586
6,station_Najafgarh Delhi DPCC,0.0013282366562634706
6,station_Narela Delhi DPCC,0.0
6,station_Nehru Nagar Delhi DPCC,0.0011670759413391352
6,station_Okhla Phase-2 Delhi DPCC,0.0
6,station_Patparganj Delhi DPCC,0.0008882353431545198
6,station_Punjabi Bagh Delhi DPCC,0.0
6,station_Pusa Delhi DPCC,0.0014672428369522095
6,station_R K Puram Delhi DPCC,0.0015996653819456697
6,station_Rohini Delhi DPCC,0.0013061477802693844
6,station_Shadipur Delhi CPCB,0.0022182438988238573
6,station_Sirifort Delhi CPCB,0.0021791919134557247
6,station_Sonia Vihar Delhi DPCC,0.0
6,station_Sri Aurobindo Marg Delhi DPCC,0.0024526682682335377
6,station_Vivek Vihar Delhi DPCC,0.00043416817788966
6,station_Wazirpur Delhi DPCC,0.0012507777428254485
12,aqi,0.008078521117568016
12,aqi_lag_1,0.0009129003155976534
12,aqi_lag_2,0.0007647559395991266
12,aqi_lag_3,0.000919332611374557
12,aqi_lag_6,0.0008068488095887005
12,aqi_lag_12,0.22409535944461823
12,aqi_lag_24,0.0008358921040780842
12,aqi_lag_48,0.0009718792862258852
12,aqi_lag_72,0.001204185071401298
12,hour_sin,0.008261207491159439
12,hour_cos,0.003654568688943982
12,weekday_sin,0.0019307802431285381
12,weekday_cos,0.0019053872674703598
12,month_sin,0.005506226327270269
12,month_cos,0.023579509928822517
12,weekend,0.0026505657006055117
12,temperature_2m,0.0017696705181151628
12,relative_humidity_2m,0.003900761716067791
12,wind_speed_10m,0.0035181634593755007
12,pressure_msl,0.002703095320612192
12,precipitation,0.0028533656150102615
12,wind_sin,0.0029249824583530426
12,wind_cos,0.0017278185114264488
12,aqi_mean_3,0.0035030932631343603
12,aqi_max_3,0.0076787881553173065
12,aqi_min_3,0.000839808548334986
12,aqi_std_3,0.0006410320638678968
12,aqi_trend_3,0.0026896970812231302
12,exceedance_count_3,0.0
12,aqi_mean_6,0.0015758895315229893
12,aqi_max_6,0.002324508037418127
12,aqi_min_6,0.001338841044344008
12,aqi_std_6,0.0005865455605089664
12,aqi_trend_6,0.0024625943042337894
12,exceedance_count_6,0.0004972846363671124
12,aqi_mean_12,0.09245716780424118
12,aqi_max_12,0.009289312176406384
12,aqi_min_12,0.0060849618166685104
12,aqi_std_12,0.0008569429046474397
12,aqi_trend_12,0.0011683210032060742
12,exceedance_count_12,0.004357275553047657
12,aqi_mean_24,0.2501792311668396
12,aqi_max_24,0.0008893745834939182
12,aqi_min_24,0.0008223698823712766
12,aqi_std_24,0.0011924104765057564
12,aqi_trend_24,0.002800201764330268
12,exceedance_count_24,0.1286221593618393
12,aqi_mean_48,0.007530424743890762
12,aqi_max_48,0.000926996348425746
12,aqi_min_48,0.0009752589976415038
12,aqi_std_48,0.0008802615338936448
12,aqi_trend_48,0.001236896263435483
12,exceedance_count_48,0.020867208018898964
12,aqi_mean_72,0.027850428596138954
12,aqi_max_72,0.0018739438382908702
12,aqi_min_72,0.002318848157301545
12,aqi_std_72,0.0016305592143908143
12,aqi_trend_72,0.0009287780267186463
12,exceedance_count_72,0.013120711781084538
12,temperature_2m_lag_1,0.002040479565039277
12,temperature_2m_lag_6,0.0025638649240136147
12,temperature_2m_lag_24,0.0016702363500371575
12,temperature_2m_mean_24,0.003957442007958889
12,relative_humidity_2m_lag_1,0.0016833962872624397
12,relative_humidity_2m_lag_6,0.002527306554839015
12,relative_humidity_2m_lag_24,0.0036591156385838985
12,relative_humidity_2m_mean_24,0.002312278840690851
12,wind_speed_10m_lag_1,0.002414440270513296
12,wind_speed_10m_lag_6,0.0016740758437663317
12,wind_speed_10m_lag_24,0.0026505670975893736
12,wind_speed_10m_mean_24,0.002313431119546294
12,pressure_msl_lag_1,0.0025439478922635317
12,pressure_msl_lag_6,0.0018308886792510748
12,pressure_msl_lag_24,0.004969972185790539
12,pressure_msl_mean_24,0.0039129252545535564
12,precipitation_lag_1,0.0039020192343741655
12,precipitation_lag_6,0.0027769713196903467
12,precipitation_lag_24,0.0010963919339701533
12,precipitation_mean_24,0.014415869489312172
12,station_Alipur Delhi DPCC,0.0
12,station_Anand Vihar Delhi DPCC,0.0018245409009978175
12,station_Ashok Vihar Delhi DPCC,0.0
12,station_Bawana Delhi DPCC,0.0012067550560459495
12,station_CRRI Mathura Road Delhi IMD,0.0007274709059856832
12,station_DTU Delhi CPCB,0.0018136153230443597
12,station_Dr. Karni Singh Shooting Range Delhi DPCC,0.0011475500650703907
12,station_IHBAS Dilshad Garden Delhi CPCB,0.0016693813959136605
12,station_ITO Delhi CPCB,0.0013525505783036351
12,station_Jahangirpuri Delhi DPCC,0.0014882369432598352
12,station_Jawaharlal Nehru Stadium Delhi DPCC,0.0
12,station_Major Dhyan Chand National Stadium Delhi DPCC,0.0006255715270526707
12,station_Mandir Marg Delhi DPCC,0.0011842316016554832
12,station_Mundka Delhi DPCC,0.0011626157211139798
12,station_NSIT Dwarka Delhi CPCB,0.00034279475221410394
12,station_Najafgarh Delhi DPCC,0.0013664832804352045
12,station_Narela Delhi DPCC,0.0
12,station_Nehru Nagar Delhi DPCC,0.0007662649732083082
12,station_Okhla Phase-2 Delhi DPCC,0.0
12,station_Patparganj Delhi DPCC,0.0008211421663872898
12,station_Punjabi Bagh Delhi DPCC,0.0
12,station_Pusa Delhi DPCC,0.0
12,station_R K Puram Delhi DPCC,0.0
12,station_Rohini Delhi DPCC,0.0013794333208352327
12,station_Shadipur Delhi CPCB,0.0016071897698566318
12,station_Sirifort Delhi CPCB,0.0031299882102757692
12,station_Sonia Vihar Delhi DPCC,0.0
12,station_Sri Aurobindo Marg Delhi DPCC,0.0017845147522166371
12,station_Vivek Vihar Delhi DPCC,0.0
12,station_Wazirpur Delhi DPCC,0.0012101855827495456
24,aqi,0.20756593346595764
24,aqi_lag_1,0.010962880216538906
24,aqi_lag_2,0.000685434672050178
24,aqi_lag_3,0.0004232722567394376
24,aqi_lag_6,0.0003289156302344054
24,aqi_lag_12,0.0004559331573545933
24,aqi_lag_24,0.040006063878536224
24,aqi_lag_48,0.014087001793086529
24,aqi_lag_72,0.011159912683069706
24,hour_sin,0.0038540554232895374
24,hour_cos,0.0031849562656134367
24,weekday_sin,0.0021434947848320007
24,weekday_cos,0.0013389716623350978
24,month_sin,0.006752498913556337
24,month_cos,0.010186251252889633
24,weekend,0.0
24,temperature_2m,0.0021144559141248465
24,relative_humidity_2m,0.0017349764239042997
24,wind_speed_10m,0.002621573628857732
24,pressure_msl,0.004958458710461855
24,precipitation,0.0030371849425137043
24,wind_sin,0.004681830294430256
24,wind_cos,0.001137026003561914
24,aqi_mean_3,0.24250176548957825
24,aqi_max_3,0.002630063332617283
24,aqi_min_3,0.12496865540742874
24,aqi_std_3,0.0004828666860703379
24,aqi_trend_3,0.0011452148901298642
24,exceedance_count_3,0.0
24,aqi_mean_6,0.010517992079257965
24,aqi_max_6,0.000993957743048668
24,aqi_min_6,0.0013695983216166496
24,aqi_std_6,0.0016135664191097021
24,aqi_trend_6,0.0006179144838824868
24,exceedance_count_6,0.0004397083248477429
24,aqi_mean_12,0.0008317125029861927
24,aqi_max_12,0.0015822958666831255
24,aqi_min_12,0.0009181635687127709
24,aqi_std_12,0.0006618690676987171
24,aqi_trend_12,0.0010366874048486352
24,exceedance_count_12,0.0003248733701184392
24,aqi_mean_24,0.039237961173057556
24,aqi_max_24,0.0008223974728025496
24,aqi_min_24,0.0009624528465792537
24,aqi_std_24,0.000553929538000375
24,aqi_trend_24,0.0010982936946675181
24,exceedance_count_24,0.000878977938555181
24,aqi_mean_48,0.053157445043325424
24,aqi_max_48,0.0011581809958443046
24,aqi_min_48,0.0023063495755195618
24,aqi_std_48,0.0011421630624681711
24,aqi_trend_48,0.0006559842731803656
24,exceedance_count_48,0.05001534894108772
24,aqi_mean_72,0.041538067162036896
24,aqi_max_72,0.001701004453934729
24,aqi_min_72,0.0005948010948486626
24,aqi_std_72,0.0011342412326484919
24,aqi_trend_72,0.0012509471271187067
24,exceedance_count_72,0.005670762620866299
24,temperature_2m_lag_1,0.00926137063652277
24,temperature_2m_lag_6,0.003024408360943198
24,temperature_2m_lag_24,0.001645896234549582
24,temperature_2m_mean_24,0.0026298989541828632
24,relative_humidity_2m_lag_1,0.0013805758208036423
24,relative_humidity_2m_lag_6,0.0010398388840258121
24,relative_humidity_2m_lag_24,0.001403747359290719
24,relative_humidity_2m_mean_24,0.0028812699019908905
24,wind_speed_10m_lag_1,0.002440409502014518
24,wind_speed_10m_lag_6,0.0018462399020791054
24,wind_speed_10m_lag_24,0.001727025955915451
24,wind_speed_10m_mean_24,0.0016411809483543038
24,pressure_msl_lag_1,0.0024587316438555717
24,pressure_msl_lag_6,0.0014236014103516936
24,pressure_msl_lag_24,0.010791799984872341
24,pressure_msl_mean_24,0.0020029181614518166
24,precipitation_lag_1,0.0030589099042117596
24,precipitation_lag_6,0.0
24,precipitation_lag_24,0.0
24,precipitation_mean_24,0.007401591632515192
24,station_Alipur Delhi DPCC,0.0
24,station_Anand Vihar Delhi DPCC,0.0012835714733228087
24,station_Ashok Vihar Delhi DPCC,0.0
24,station_Bawana Delhi DPCC,0.0008715678122825921
24,station_CRRI Mathura Road Delhi IMD,0.0
24,station_DTU Delhi CPCB,0.0006487598293460906
24,station_Dr. Karni Singh Shooting Range Delhi DPCC,0.0005889383028261364
24,station_IHBAS Dilshad Garden Delhi CPCB,0.0012104619527235627
24,station_ITO Delhi CPCB,0.0
24,station_Jahangirpuri Delhi DPCC,0.0010088520357385278
24,station_Jawaharlal Nehru Stadium Delhi DPCC,0.0
24,station_Major Dhyan Chand National Stadium Delhi DPCC,0.0
24,station_Mandir Marg Delhi DPCC,0.000725263322237879
24,station_Mundka Delhi DPCC,0.0010546960402280092
24,station_NSIT Dwarka Delhi CPCB,0.0
24,station_Najafgarh Delhi DPCC,0.0010106639238074422
24,station_Narela Delhi DPCC,0.0
24,station_Nehru Nagar Delhi DPCC,0.0
24,station_Okhla Phase-2 Delhi DPCC,0.0
24,station_Patparganj Delhi DPCC,0.0005494156503118575
24,station_Punjabi Bagh Delhi DPCC,0.0
24,station_Pusa Delhi DPCC,0.0
24,station_R K Puram Delhi DPCC,0.0
24,station_Rohini Delhi DPCC,0.0007591430912725627
24,station_Shadipur Delhi CPCB,0.0007446928066201508
24,station_Sirifort Delhi CPCB,0.0
24,station_Sonia Vihar Delhi DPCC,0.0
24,station_Sri Aurobindo Marg Delhi DPCC,0.0008743604994378984
24,station_Vivek Vihar Delhi DPCC,0.0
24,station_Wazirpur Delhi DPCC,0.0006729817832820117
