horizon,model,feature_group,split,station,n,mae,rmse,r2,interval_coverage
6,xgboost,A_history,validation,ALL,33478,79.17500926827407,98.77748553096978,0.18446790113126332,
6,xgboost,B_history_time,validation,ALL,33478,64.17461729343094,82.78857037744741,0.42711705633275465,
6,xgboost,C_history_weather,validation,ALL,33478,73.25556352356584,94.12189963217665,0.25953166092388913,
6,xgboost,D_history_time_weather,validation,ALL,33478,62.27785418003546,80.43781695674116,0.45918879994094497,
6,xgboost,E_full,validation,ALL,33478,59.97102875039814,77.30224826475927,0.5005300363950541,
6,xgboost_tuned,E_full,validation,ALL,33478,58.124480760769075,75.37426111180675,0.5251337965034255,
6,random_forest,E_full,validation,ALL,33478,60.461907169638074,77.8487604021395,0.49344275721043585,
6,persistence,A_history,test,ALL,102340,67.25550127027556,96.77258548143769,0.44793743505226624,
6,seasonal_naive,A_history,test,ALL,102340,63.075444596443226,91.9437725404505,0.5016571301368083,
6,xgboost,A_history,test,ALL,102340,61.95213693908026,82.13747194888593,0.6022902169820477,
6,xgboost,B_history_time,test,ALL,102340,52.23644427691257,72.05928530105226,0.6938998720953871,
6,xgboost,C_history_weather,test,ALL,102340,57.52740831524221,77.445643831115,0.6464282163509159,
6,xgboost,D_history_time_weather,test,ALL,102340,51.02979714686409,70.12037695062133,0.7101508077069462,
6,xgboost,E_full,test,ALL,102340,48.91826522837213,67.6276784199953,0.7303921283450345,
6,xgboost_tuned,E_full,test,ALL,102340,48.086715115321105,66.58332397794814,0.7386547838986361,
6,random_forest,E_full,test,ALL,102340,49.55050543959287,68.32031247930375,0.7248412686819659,
6,xgboost_tuned,E_full,test_selected,Alipur Delhi DPCC,3353,48.43336228217931,68.09948471795126,0.7280122663580846,0.8541604533253803
6,xgboost_tuned,E_full,test_selected,Anand Vihar Delhi DPCC,2849,58.195907000953085,78.02694403231433,0.6410375995320079,0.8037908037908038
6,xgboost_tuned,E_full,test_selected,Ashok Vihar Delhi DPCC,2443,44.77278821604007,62.697220570928174,0.7666536082784384,0.8874334834220221
6,xgboost_tuned,E_full,test_selected,Bawana Delhi DPCC,3450,53.00625874284385,70.80759750850434,0.7303250544508727,0.835072463768116
6,xgboost_tuned,E_full,test_selected,CRRI Mathura Road Delhi IMD,1771,53.538491493022626,71.03686852873523,0.5988456584064927,0.8385093167701864
6,xgboost_tuned,E_full,test_selected,DTU Delhi CPCB,5150,48.01688275902016,65.49743522456424,0.681376141419036,0.8669902912621359
6,xgboost_tuned,E_full,test_selected,Dr. Karni Singh Shooting Range Delhi DPCC,3133,42.07047752553268,58.15274344498175,0.789594658747581,0.9048834982444941
6,xgboost_tuned,E_full,test_selected,IHBAS Dilshad Garden Delhi CPCB,3980,38.84474498039514,53.96385754221316,0.6852136047544036,0.9183417085427136
6,xgboost_tuned,E_full,test_selected,ITO Delhi CPCB,4476,47.09234626214349,66.9152076651141,0.744161135765864,0.870420017873101
6,xgboost_tuned,E_full,test_selected,Jahangirpuri Delhi DPCC,2479,52.12191563029595,70.39348050399055,0.7452374137934673,0.844695441710367
6,xgboost_tuned,E_full,test_selected,Jawaharlal Nehru Stadium Delhi DPCC,2136,42.94284361667847,57.891041727198925,0.8168220882991218,0.8951310861423221
6,xgboost_tuned,E_full,test_selected,Major Dhyan Chand National Stadium Delhi DPCC,3641,42.50547254520993,58.48332675682637,0.7731751576530722,0.8992035155177149
6,xgboost_tuned,E_full,test_selected,Mandir Marg Delhi DPCC,2835,46.789322117396765,66.09726974505908,0.7205151998575621,0.8691358024691358
6,xgboost_tuned,E_full,test_selected,Mundka Delhi DPCC,1975,57.423808232560944,76.33968778504956,0.7275423947819593,0.8177215189873418
6,xgboost_tuned,E_full,test_selected,NSIT Dwarka Delhi CPCB,4716,49.92949547092221,70.90125365842368,0.6721204947184779,0.8524173027989822
6,xgboost_tuned,E_full,test_selected,Najafgarh Delhi DPCC,3615,44.63868265376216,63.65791232180966,0.735485636754783,0.8744121715076072
6,xgboost_tuned,E_full,test_selected,Narela Delhi DPCC,3597,48.76776808356125,65.76734093484644,0.7434955249052557,0.8604392549346678
6,xgboost_tuned,E_full,test_selected,Nehru Nagar Delhi DPCC,4012,47.724720948239266,65.7827612301284,0.7837374732057305,0.865902293120638
6,xgboost_tuned,E_full,test_selected,Okhla Phase-2 Delhi DPCC,1348,49.359063505065194,66.9261371314177,0.745404592109516,0.8501483679525222
6,xgboost_tuned,E_full,test_selected,Patparganj Delhi DPCC,4286,45.43299592659399,64.4753893019745,0.7640322182212378,0.8754083061129259
6,xgboost_tuned,E_full,test_selected,Punjabi Bagh Delhi DPCC,3213,49.76250790555344,66.91419324900366,0.7309524910863017,0.8596327419856832
6,xgboost_tuned,E_full,test_selected,Pusa Delhi DPCC,3191,46.93886000353204,65.13188638406648,0.7332457145942347,0.8752742087120025
6,xgboost_tuned,E_full,test_selected,R K Puram Delhi DPCC,3977,48.64941296135027,66.89546089272359,0.7089450190645686,0.8617048026150365
6,xgboost_tuned,E_full,test_selected,Rohini Delhi DPCC,3415,52.38493524777593,69.53514762675997,0.7320794220463496,0.8348462664714494
6,xgboost_tuned,E_full,test_selected,Shadipur Delhi CPCB,6969,53.465029508076434,75.51196755192746,0.6537356023421184,0.8206342373367772
6,xgboost_tuned,E_full,test_selected,Sirifort Delhi CPCB,2267,41.13669546133209,58.13291613347113,0.7881690843920149,0.9113365681517424
6,xgboost_tuned,E_full,test_selected,Sonia Vihar Delhi DPCC,3757,49.83646209956421,68.30219556836911,0.7304144952490289,0.8554697897258451
6,xgboost_tuned,E_full,test_selected,Sri Aurobindo Marg Delhi DPCC,3919,40.56078239094393,56.81107826325333,0.7938145814081099,0.9091605001275835
6,xgboost_tuned,E_full,test_selected,Vivek Vihar Delhi DPCC,3852,47.59761997274397,64.89257047302307,0.7550795688293745,0.8704569055036345
6,xgboost_tuned,E_full,test_selected,Wazirpur Delhi DPCC,2535,54.148326831644574,73.52828207163267,0.695759336229387,0.829585798816568
12,persistence,A_history,validation,ALL,33032,105.41838217486074,132.87986601240587,-0.4699735416980677,
12,seasonal_naive,A_history,validation,ALL,33032,76.34911600871882,103.86444540891613,0.10189943866940976,
12,xgboost,A_history,validation,ALL,33032,71.81381078469721,91.2836404609979,0.3062914322975283,
12,xgboost,B_history_time,validation,ALL,33032,66.8706986856218,86.28719982760948,0.3801538529159917,
12,xgboost,C_history_weather,validation,ALL,33032,68.52148190818477,87.00558797801042,0.36978977180073735,
12,xgboost,D_history_time_weather,validation,ALL,33032,64.89295581802384,83.4371100297095,0.4204249767756494,
12,xgboost,E_full,validation,ALL,33032,63.22955923895768,81.43843285555907,0.4478590343683636,
12,xgboost_tuned,E_full,validation,ALL,33032,62.78477158757785,81.13035996995872,0.452028513572991,
12,random_forest,E_full,validation,ALL,33032,65.44262283402873,83.88334638670382,0.41420906063376894,
12,persistence,A_history,test,ALL,101441,77.71726422255301,107.9690506940255,0.31907108956094876,
12,seasonal_naive,A_history,test,ALL,101441,63.19299888605199,91.96844535438015,0.5059386302166831,
12,xgboost,A_history,test,ALL,101441,58.531899952686125,79.5552869944748,0.6303069371015879,
12,xgboost,B_history_time,test,ALL,101441,54.477657365027575,75.25999353596751,0.6691496784066755,
12,xgboost,C_history_weather,test,ALL,101441,56.01530262327755,75.98001468853178,0.6627888283922514,
12,xgboost,D_history_time_weather,test,ALL,101441,53.5707183740061,73.39848727186967,0.6853139969395712,
12,xgboost,E_full,test,ALL,101441,52.72447040171018,72.56614537895209,0.6924106340866757,
12,xgboost_tuned,E_full,test,ALL,101441,52.21929523619829,71.95585133410276,0.6975626392915268,
12,random_forest,E_full,test,ALL,101441,53.97829742581056,73.90327317307623,0.6809707116055745,
12,xgboost_tuned,E_full,test_selected,Alipur Delhi DPCC,3318,52.01688345000282,72.38368123693775,0.6953282804301927,0.8640747438215792
12,xgboost_tuned,E_full,test_selected,Anand Vihar Delhi DPCC,2838,63.89452222000133,85.9172215033157,0.5659646820660449,0.7991543340380549
12,xgboost_tuned,E_full,test_selected,Ashok Vihar Delhi DPCC,2404,50.50624177777232,70.12763819661204,0.7116655268925269,0.8785357737104825
