station,horizon,persistence,actual_events,predicted_events,matched_events,false_alarms,missed_events,event_precision,event_recall,event_f1,onset_error_hours,onset_error_hours_n,peak_error_hours,peak_error_hours_n,duration_error_hours,duration_error_hours_n,recovery_error_hours,recovery_error_hours_n
Alipur Delhi DPCC,1,2,104,113,96,17,8,0.8495575221238938,0.9230769230769231,0.8847926267281105,2.9285714285714284,84,2.4583333333333335,96,4.042253521126761,71,1.3170731707317074,82
Alipur Delhi DPCC,1,3,92,93,78,15,14,0.8387096774193549,0.8478260869565217,0.8432432432432434,3.4242424242424243,66,2.7948717948717947,78,4.946428571428571,56,1.4328358208955223,67
Alipur Delhi DPCC,1,6,63,66,56,10,7,0.8484848484848485,0.8888888888888888,0.8682170542635659,4.083333333333333,48,3.232142857142857,56,5.902439024390244,41,1.5833333333333333,48
Alipur Delhi DPCC,6,2,109,88,65,23,44,0.7386363636363636,0.5963302752293578,0.6598984771573604,6.122448979591836,49,5.476923076923077,65,9.64864864864865,37,5.065217391304348,46
Alipur Delhi DPCC,6,3,93,78,56,22,37,0.717948717948718,0.6021505376344086,0.6549707602339182,6.318181818181818,44,6.035714285714286,56,9.571428571428571,35,5.4523809523809526,42
Alipur Delhi DPCC,6,6,57,54,39,15,18,0.7222222222222222,0.6842105263157895,0.7027027027027027,7.314285714285714,35,7.666666666666667,39,10.714285714285714,28,6.0625,32
Alipur Delhi DPCC,12,2,108,84,61,23,47,0.7261904761904762,0.5648148148148148,0.6354166666666666,6.914893617021277,47,6.819672131147541,61,13.17142857142857,35,7.410256410256411,39
Alipur Delhi DPCC,12,3,95,78,59,19,36,0.7564102564102564,0.6210526315789474,0.6820809248554913,7.133333333333334,45,7.0508474576271185,59,13.411764705882353,34,7.578947368421052,38
Alipur Delhi DPCC,12,6,60,60,43,17,17,0.7166666666666667,0.7166666666666667,0.7166666666666667,9.727272727272727,33,7.255813953488372,43,15.37037037037037,27,7.266666666666667,30
Alipur Delhi DPCC,24,2,105,84,58,26,47,0.6904761904761905,0.5523809523809524,0.6137566137566137,8.05,40,8.03448275862069,58,13.344827586206897,29,6.1891891891891895,37
Alipur Delhi DPCC,24,3,91,75,54,21,37,0.72,0.5934065934065934,0.6506024096385543,8.567567567567568,37,8.055555555555555,54,13.88888888888889,27,6.4411764705882355,34
Alipur Delhi DPCC,24,6,61,58,39,19,22,0.6724137931034483,0.639344262295082,0.6554621848739496,9.466666666666667,30,10.461538461538462,39,15.826086956521738,23,7.392857142857143,28
