timestamp,count,mean
2017,66724,202.5925243569099
2018,221298,222.29054507341266
2019,255691,212.94615424962825
2020,253367,182.31419317205712
2021,251116,200.34888082232285
2022,252718,205.65834787696903
2023,250032,199.81899467739223
2024,253973,200.11583766038268
2025,256314,190.49065099487404
